0.55,-0.55
28515,-0.01,-0.01
28516,0.03,0.03
28517,-0.01,-0.01
28518,0.00,0.00
28519,0.00,0.00
28520,0.00,0.00
28521,0.00,0.00
28522,0.00,0.00
28524,-0.11,-0.11
28525,-0.08,-0.08
28526,0.00,0.00
28527,-0.01,-0.01
28528,-0.08,-0.08
28529,0.03,0.03
28530,0.00,0.00
28531,0.02,0.02
28532,0.00,0.00
28533,0.00,0.00
28534,-0.01,-0.01
28536,-0.01,-0.01
28537,0.00,0.00
28538,-0.01,-0.01
28539,-0.01,-0.01
28540,-0.01,-0.01
28541,0.00,0.00
28542,0.02,0.02
28544,0.00,0.00
28545,0.00,0.00
28546,0.00,0.00
28547,-0.01,-0.01
28548,0.02,0.02
28549,0.00,0.00
28550,0.00,0.00
28551,-0.07,-0.07
28552,0.04,0.04
28553,0.00,0.00
28554,0.00,0.00
28555,0.00,0.00
28556,0.00,0.00
28557,0.00,0.00
28558,0.00,0.00
28559,0.00,0.00
28560,-0.01,-0.01
28561,0.02,0.02
28563,0.02,0.02
28564,-0.05,-0.05
28565,-0.01,-0.01
28566,0.00,0.00
28567,0.00,0.00
28568,-0.02,-0.02
28569,0.03,0.03
28570,0.03,0.03
28571,0.00,0.00
28572,0.00,0.00
28573,0.00,0.00
28574,0.02,0.02
28575,0.00,0.00
28576,-0.01,-0.01
28577,0.00,0.00
28578,-0.01,-0.01
28579,0.00,0.00
28580,0.00,0.00
28582,-0.01,-0.01
28583,0.00,0.00
28584,0.00,0.00
28585,0.00,0.00
28586,0.00,0.00
28587,-0.08,-0.08
28588,0.02,0.02
28589,0.00,0.00
28590,0.00,0.00
28591,0.00,0.00
28592,0.00,0.00
28593,0.00,0.00
28594,-0.01,-0.01
28595,0.02,0.02
28596,0.00,0.00
28597,0.02,0.02
28598,0.02,0.02
28600,0.00,0.00
28601,-0.01,-0.01
28602,0.00,0.00
28603,-0.01,-0.01
28604,0.00,0.00
28605,0.02,0.02
28606,0.02,0.02
28607,0.00,0.00
28608,0.00,0.00
28609,-0.01,-0.01
28610,-0.01,-0.01
28611,-0.01,-0.01
28613,0.02,0.02
28614,0.00,0.00
28615,0.00,0.00
28616,-0.08,-0.08
28617,0.00,0.00
28618,0.00,0.00
28619,-0.08,-0.08
28620,0.00,0.00
28621,0.00,0.00
28622,0.00,0.00
28623,0.02,0.02
28624,0.00,0.00
28625,-0.11,-0.11
28626,0.00,0.00
28627,0.00,0.00
28628,0.00,0.00
28629,0.00,0.00
28630,0.00,0.00
28631,0.07,0.07
28632,0.00,0.00
28633,-0.01,-0.01
28635,-0.07,-0.07
28636,-0.02,-0.02
28637,0.00,0.00
28638,0.00,0.00
28639,0.00,0.00
28640,-0.15,-0.15
28641,-0.01,-0.01
28642,0.00,0.00
28644,-0.01,-0.01
28645,0.00,0.00
28646,-0.01,-0.01
28647,-0.01,-0.01
28648,0.02,0.02
28649,0.00,0.00
28650,0.00,0.00
28651,-0.09,-0.09
28652,-0.04,-0.04
28653,0.00,0.00
28654,0.00,0.00
28655,0.00,0.00
28656,0.00,0.00
28658,0.00,0.00
28659,0.00,0.00
28660,0.00,0.00
28661,0.00,0.00
28662,-0.01,-0.01
28663,0.00,0.00
28664,-0.01,-0.01
28665,-0.09,-0.09
28666,-0.02,-0.02
28667,0.00,0.00
28668,0.00,0.00
28670,-0.01,-0.01
28671,0.00,0.00
28672,-0.01,-0.01
28673,-0.01,-0.01
28674,-0.01,-0.01
28675,-0.09,-0.09
28676,0.00,0.00
28677,0.00,0.00
28679,-0.01,-0.01
28680,0.00,0.00
28681,0.00,0.00
28682,0.00,0.00
28683,0.00,0.00
28684,0.00,0.00
28685,0.00,0.00
28686,-0.01,-0.01
28687,0.00,0.00
28688,0.00,0.00
28689,0.00,0.00
28690,0.00,0.00
28691,0.00,0.00
28692,-0.01,-0.01
28693,0.00,0.00
28694,-0.01,-0.01
28695,0.02,0.02
28696,0.00,0.00
28697,0.03,0.03
28698,0.00,0.00
28699,0.00,0.00
28700,0.00,0.00
28701,0.00,0.00
28702,0.00,0.00
28703,0.00,0.00
28704,0.06,0.06
28705,-0.01,-0.01
28707,0.00,0.00
28708,0.00,0.00
28709,0.00,0.00
28710,0.00,0.00
28711,0.00,0.00
28712,0.02,0.02
28713,0.00,0.00
28714,-0.01,-0.01
28715,0.00,0.00
28716,0.00,0.00
28717,0.00,0.00
28718,0.00,0.00
28719,0.00,0.00
28720,0.00,0.00
28721,-0.08,-0.08
28722,0.00,0.00
28723,-0.01,-0.01
28724,-0.01,-0.01
28726,0.00,0.00
28727,0.00,0.00
28728,-0.01,-0.01
28729,0.02,0.02
28730,0.00,0.00
28731,-0.01,-0.01
28732,0.00,0.00
28733,0.00,0.00
28734,0.00,0.00
28735,0.00,0.00
28736,0.00,0.00
28737,0.00,0.00
28738,-0.01,-0.01
28739,0.00,0.00
28740,-0.01,-0.01
28741,0.00,0.00
28742,-0.07,-0.07
28744,-0.01,-0.01
28745,-0.01,-0.01
28746,-0.01,-0.01
28747,0.00,0.00
28748,-0.01,-0.01
28749,-0.01,-0.01
28750,0.00,0.00
28751,0.00,0.00
28752,-0.01,-0.01
28754,-0.01,-0.01
28755,0.00,0.00
28756,-0.01,-0.01
28757,0.02,0.02
28758,0.04,0.04
28759,-0.01,-0.01
28760,0.00,0.00
28761,0.02,0.02
28763,0.00,0.00
28764,0.02,0.02
28765,-0.01,-0.01
28766,0.00,0.00
28767,-0.01,-0.01
28768,0.00,0.00
28769,0.00,0.00
28770,0.00,0.00
28771,-0.02,-0.02
28772,-0.01,-0.01
28773,-0.01,-0.01
28775,-0.01,-0.01
28776,0.00,0.00
28777,0.02,0.02
28778,-0.01,-0.01
28779,0.00,0.00
28780,-0.01,-0.01
28781,0.00,0.00
28782,0.00,0.00
28783,-0.01,-0.01
28784,0.00,0.00
28785,0.00,0.00
28786,0.02,0.02
28788,-0.01,-0.01
28789,0.00,0.00
28790,-0.01,-
